char,codepoint,utf8_hex,rfc3986,encodeURIComponent,differ
 ,32,20,%20,%20,no
!,33,21,%21,!,YES
"""",34,22,%22,%22,no
#,35,23,%23,%23,no
$,36,24,%24,%24,no
%,37,25,%25,%25,no
&,38,26,%26,%26,no
',39,27,%27,',YES
(,40,28,%28,(,YES
),41,29,%29,),YES
*,42,2A,%2A,*,YES
+,43,2B,%2B,%2B,no
",",44,2C,%2C,%2C,no
-,45,2D,-,-,no
.,46,2E,.,.,no
/,47,2F,%2F,%2F,no
0,48,30,0,0,no
1,49,31,1,1,no
2,50,32,2,2,no
3,51,33,3,3,no
4,52,34,4,4,no
5,53,35,5,5,no
6,54,36,6,6,no
7,55,37,7,7,no
8,56,38,8,8,no
9,57,39,9,9,no
:,58,3A,%3A,%3A,no
;,59,3B,%3B,%3B,no
<,60,3C,%3C,%3C,no
=,61,3D,%3D,%3D,no
>,62,3E,%3E,%3E,no
?,63,3F,%3F,%3F,no
@,64,40,%40,%40,no
A,65,41,A,A,no
B,66,42,B,B,no
C,67,43,C,C,no
D,68,44,D,D,no
E,69,45,E,E,no
F,70,46,F,F,no
G,71,47,G,G,no
H,72,48,H,H,no
I,73,49,I,I,no
J,74,4A,J,J,no
K,75,4B,K,K,no
L,76,4C,L,L,no
M,77,4D,M,M,no
N,78,4E,N,N,no
O,79,4F,O,O,no
P,80,50,P,P,no
Q,81,51,Q,Q,no
R,82,52,R,R,no
S,83,53,S,S,no
T,84,54,T,T,no
U,85,55,U,U,no
V,86,56,V,V,no
W,87,57,W,W,no
X,88,58,X,X,no
Y,89,59,Y,Y,no
Z,90,5A,Z,Z,no
[,91,5B,%5B,%5B,no
\,92,5C,%5C,%5C,no
],93,5D,%5D,%5D,no
^,94,5E,%5E,%5E,no
_,95,5F,_,_,no
`,96,60,%60,%60,no
a,97,61,a,a,no
b,98,62,b,b,no
c,99,63,c,c,no
d,100,64,d,d,no
e,101,65,e,e,no
f,102,66,f,f,no
g,103,67,g,g,no
h,104,68,h,h,no
i,105,69,i,i,no
j,106,6A,j,j,no
k,107,6B,k,k,no
l,108,6C,l,l,no
m,109,6D,m,m,no
n,110,6E,n,n,no
o,111,6F,o,o,no
p,112,70,p,p,no
q,113,71,q,q,no
r,114,72,r,r,no
s,115,73,s,s,no
t,116,74,t,t,no
u,117,75,u,u,no
v,118,76,v,v,no
w,119,77,w,w,no
x,120,78,x,x,no
y,121,79,y,y,no
z,122,7A,z,z,no
{,123,7B,%7B,%7B,no
|,124,7C,%7C,%7C,no
},125,7D,%7D,%7D,no
~,126,7E,~,~,no
é,233,C3A9,%C3%A9,%C3%A9,no
中,20013,E4B8AD,%E4%B8%AD,%E4%B8%AD,no
😀,128512,F09F9880,%F0%9F%98%80,%F0%9F%98%80,no
